,source,author,title,description,url,urlToImage,publishedAt,content
90,"{'id': None, 'name': 'Globalnews.ca'}",Eileen Ng and John Leicester,Hong Kong protester shot with live round as protests descend into chaos - Global News,Hong Kong protester shot with live round as protests descend into chaos Global News A staggering display of new weaponry to mark China’s 70th anniversary National Post Hong Kong police slammed as 'trigger-happy' after protester shot with live round Global New…,http://globalnews.ca/news/5973521/hong-kong-protests-live-rounds/,https://shawglobalnews.files.wordpress.com/2019/10/1000-1.jpeg?quality=70&strip=all&w=720&h=379&crop=1,2019-10-02T05:59:00Z,"In a fearsome escalation of violence, Hong Kong police shot a protester in the chest at close range Tuesday, leaving the teenager bleeding and howling on the ground. Tens of thousands joined anti-government demonstrations that spread across the semi-autonomou… [+6876 chars]"
91,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Hong Kong's leader backs police use of force as protesters plan 'illegal' march,"Hong Kong leader Carrie Lam took to the airwaves on Saturday to back the use of force by police ahead of a major anti-government march planned this weekend in the Chinese-ruled city, which has been battered by months of violent protests.",https://www.reuters.com/article/us-hongkong-protests-idUSKBN1WY029,https://s4.reutersmedia.net/resources/r/?m=02&d=20191019&t=2&i=1442524237&w=1200&r=LYNXMPEF9I029,2019-10-19T02:51:09Z,"HONG KONG (Reuters) - Hong Kong leader Carrie Lam took to the airwaves on Saturday to back the use of force by police ahead of a major anti-government march planned this weekend in the Chinese-ruled city, which has been battered by months of violent protests.… [+3197 chars]"
92,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Natasha Khan, Joyu Wang",Street Battles Break Out After Hong Kong Bans Masks at Protests - The Wall Street Journal,Street Battles Break Out After Hong Kong Bans Masks at Protests The Wall Street Journal Hong Kong protesters banned from wearing masks under emergency law CBS This Morning Hong Kong Banned Masks at Protests. Masked Crowds Protested the Ban. The New York Times…,https://www.wsj.com/articles/hong-kong-says-up-to-a-year-in-jail-for-wearing-mask-at-public-gathering-11570174707,https://images.wsj.net/im-113863/social,2019-10-04T16:26:00Z,"HONG KONGStreet battles raged across Hong Kong and the citys subway operator suspended its entire network late Friday after Chief Executive 
Carrie Lam
invoked emergency measures and banned people wearing masks in an effort to quell monthslong protests. The… [+7672 chars]"
93,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Dramatic footage captures moment when Hong Kong protester shot,"Amateur video of violent demonstrations in Hong Kong on Tuesday captures the moment when a policeman points a pistol at a black-clad protester and fires a round, after which the young man falls to the floor.",https://www.reuters.com/article/us-china-anniversary-hongkong-shooting-idUSKBN1WG46G,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,2019-10-01T14:47:16Z,"HONG KONG (Reuters) - Amateur video of violent demonstrations in Hong Kong on Tuesday captures the moment when a policeman points a pistol at a black-clad protester and fires a round, after which the young man falls to the floor. 
The footage, taken by stude… [+1761 chars]"
94,"{'id': None, 'name': 'Ctvnews.ca'}",John Leicester and Eileen Ng,Hong Kong 'semi-paralyzed' as ban-defying marches persist - CTV News,Hong Kong 'semi-paralyzed' as ban-defying marches persist CTV News Hong Kong protests continue in defiance of face mask ban | LIVE Global News ‘Semi-paralyzed’: Hong Kong protesters rally against mask ban amid subway shutdown Global News After a Hong Kong pro…,https://www.ctvnews.ca/world/hong-kong-semi-paralyzed-as-ban-defying-marches-persist-1.4625523,https://www.ctvnews.ca/polopoly_fs/1.4625524.1570275304!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-05T11:35:00Z,"HONG KONG -- With subway services shut down, the wearing of face masks criminalized at rallies and Hong Kong's leader reaffirming her determination not to let rioters get the upper hand, anti-government protests that have shaken the city diminished in intensi… [+5184 chars]"
95,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,"Hong Kong protesters intend to topple city's government, says Singapore PM","Hong Kong protesters demanding universal suffrage and an amnesty for those charged with rioting are trying to humiliate and bring down the Chinese-ruled city's government, Singapore Prime Minister Lee Hsien Loong said on Wednesday.",https://www.reuters.com/article/us-hongkong-protests-singapore-idUSKBN1WV1Z7,https://s2.reutersmedia.net/resources/r/?m=02&d=20191016&t=2&i=1441516677&w=1200&r=LYNXMPEF9F1E3,2019-10-16T14:57:44Z,"SINGAPORE (Reuters) - Hong Kong protesters demanding universal suffrage and an amnesty for those charged with rioting are trying to humiliate and bring down the Chinese-ruled city’s government, Singapore Prime Minister Lee Hsien Loong said on Wednesday. 
In … [+2130 chars]"
96,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Hong Kong set to discuss emergency laws as further protests planned,"Hong Kong's government is expected to discuss sweeping emergency laws on Friday that would include banning face masks at protests, two sources told Reuters, an unprecedented move to ease months of violent unrest in the Chinese-ruled city.",https://www.reuters.com/article/us-hongkong-protests-idUSKBN1WJ05T,https://s2.reutersmedia.net/resources/r/?m=02&d=20191004&t=2&i=1436860741&w=1200&r=LYNXMPEF9303E,2019-10-04T02:03:42Z,"HONG KONG (Reuters) - Hong Kong’s government is expected to discuss sweeping emergency laws on Friday that would include banning face masks at protests, two sources told Reuters, an unprecedented move to ease months of violent unrest in the Chinese-ruled city… [+2971 chars]"
97,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Editorial,Hong Kong tightens security ahead of planned protest,"Hong Kong tightened security ahead of a planned anti-government march on Sunday afternoon, with some metro services halted and public facilities shuttering as pro-democracy leaders called on citizens to join the protest in spite of the risk of arrest.",https://www.reuters.com/article/us-hongkong-protests-idUSKBN1WZ019,https://s4.reutersmedia.net/resources/r/?m=02&d=20191020&t=2&i=1442853395&w=1200&r=LYNXMPEF9J00Y,2019-10-20T02:12:50Z,"HONG KONG (Reuters) - Hong Kong tightened security ahead of a planned anti-government march on Sunday afternoon, with some metro services halted and public facilities shuttering as pro-democracy leaders called on citizens to join the protest in spite of the r… [+2561 chars]"
98,"{'id': None, 'name': 'Slashdot.org'}",BeauHD,China Attacks Apple For Allowing Hong Kong Crowdsourced Police Activity App,"An anonymous reader quotes a report from TechCrunch: Apple's decision to greenlight an app called HKmaps, which is being used by pro-democracy protestors in Hong Kong to crowdsource information about street closures and police presence, is attracting the ire …",https://apple.slashdot.org/story/19/10/09/2043216/china-attacks-apple-for-allowing-hong-kong-crowdsourced-police-activity-app,https://a.fsdn.com/sd/topics/china_64.png,2019-10-09T22:03:00Z,"Apple's decision to greenlight an app called HKmaps, which is being used by pro-democracy protestors in Hong Kong to crowdsource information about street closures and police presence, is attracting the ire of the Chinese government. An article in Chinese stat… [+979 chars]"
99,"{'id': None, 'name': 'Thestar.com'}",,"‘Do you want to beat me?’ Hong Kong’s increasing tensions will keep spilling onto Metro Vancouver streets, expert says - Toronto Star","‘Do you want to beat me?’ Hong Kong’s increasing tensions will keep spilling onto Metro Vancouver streets, expert says Toronto Star Video captures heated confrontation in Richmond over Hong Kong protests Global News Hong Kong court to hear assault case agains…",https://www.thestar.com/vancouver/2019/10/02/do-you-want-to-beat-me-hong-kongs-increasing-tensions-will-keep-spilling-onto-metro-vancouver-streets-expert-says.html,https://images.thestar.com/FA1NrENp4dsDctDUFzj9WPaA8G4=/1200x739/smart/filters:cb(1570068130367)/https://www.thestar.com/content/dam/thestar/vancouver/2019/10/02/do-you-want-to-beat-me-hong-kongs-increasing-tensions-will-keep-spilling-onto-metro-vancouver-streets-expert-says/lennon_wall_2.jpg,2019-10-03T01:17:59Z,"VANCOUVER—“Do you want to beat me? Come here then,” says one man in a group of young people who were caught on camera tearing down messages in support of Hong Kong protests that were posted outside a shopping mall in Richmond, B.C.
After a heated exchange, a… [+3963 chars]"
